Date,Symbol,Action,Type,Qty,Price,Status,Reason,StopLoss,TakeProfit,Entries,MaxEntries,AvgEntry,ATR,NextDCAPrice,TP1Price,TP2Price,TP3Price
2026-01-09,CELC,BUY,LIMIT,37.00,107.51,PENDING,Score:185.4 RSI:68,97.42,131.72,0,0,0.00,4.0342,0.00,0.00,0.00,0.00
2026-01-09,SATS,BUY,LIMIT,33.00,120.00,PENDING,Score:136.4 RSI:74,107.69,149.55,0,0,0.00,4.9257,0.00,0.00,0.00,0.00
2026-01-09,AXGN,BUY,LIMIT,119.00,33.51,PENDING,Score:104.0 RSI:61,29.82,42.36,0,0,0.00,1.4757,0.00,0.00,0.00,0.00
2026-01-09,PRAX,BUY,LIMIT,13.00,288.45,PENDING,Score:97.7 RSI:58,245.69,391.08,0,0,0.00,17.1043,0.00,0.00,0.00,0.00
2026-01-09,AXTI,BUY,LIMIT,173.00,22.99,PENDING,Score:83.6 RSI:76,16.32,39.01,0,0,0.00,2.6693,0.00,0.00,0.00,0.00
2026-01-09,VSCO,BUY,LIMIT,60.00,65.90,PENDING,Score:59.6 RSI:75,59.34,81.64,0,0,0.00,2.6239,0.00,0.00,0.00,0.00
2026-01-09,CHRW,BUY,LIMIT,23.00,170.77,PENDING,Score:54.6 RSI:64,163.39,188.48,0,0,0.00,2.9514,0.00,0.00,0.00,0.00
2026-01-09,PEN,BUY,LIMIT,12.00,322.44,PENDING,Score:52.9 RSI:60,303.39,368.15,0,0,0.00,7.6184,0.00,0.00,0.00,0.00
2026-01-09,BLTE,BUY,LIMIT,25.00,158.36,PENDING,Score:52.3 RSI:56,142.41,196.65,0,0,0.00,6.3811,0.00,0.00,0.00,0.00
2026-01-09,LCII,BUY,LIMIT,30.00,131.01,PENDING,Score:51.2 RSI:79,124.32,147.06,0,0,0.00,2.6743,0.00,0.00,0.00,0.00
2026-01-09,KRYS,BUY,LIMIT,15.00,261.41,PENDING,Score:48.4 RSI:75,237.04,319.89,0,0,0.00,9.7474,0.00,0.00,0.00,0.00
2026-01-09,REAL,BUY,LIMIT,243.00,16.45,PENDING,Score:48.0 RSI:62,14.63,20.83,0,0,0.00,0.7300,0.00,0.00,0.00,0.00
2026-01-09,OLMA,BUY,LIMIT,142.00,28.08,PENDING,Score:48.0 RSI:39,23.33,39.48,0,0,0.00,1.8999,0.00,0.00,0.00,0.00
2026-01-09,COMM,BUY,LIMIT,216.00,18.50,PENDING,Score:47.9 RSI:59,17.09,21.90,0,0,0.00,0.5659,0.00,0.00,0.00,0.00
2026-01-09,GH,BUY,LIMIT,36.00,110.17,PENDING,Score:44.6 RSI:75,100.27,133.93,0,0,0.00,3.9607,0.00,0.00,0.00,0.00
2026-01-09,JBHT,BUY,LIMIT,19.00,206.85,PENDING,Score:40.0 RSI:69,197.65,228.92,0,0,0.00,3.6786,0.00,0.00,0.00,0.00
2026-01-09,ROST,BUY,LIMIT,20.00,191.44,PENDING,Score:39.6 RSI:74,184.45,208.21,0,0,0.00,2.7957,0.00,0.00,0.00,0.00
2026-01-09,EXPD,BUY,LIMIT,25.00,158.89,PENDING,Score:39.3 RSI:72,152.75,173.63,0,0,0.00,2.4564,0.00,0.00,0.00,0.00
2026-01-09,JMIA,BUY,LIMIT,280.00,14.26,PENDING,Score:39.1 RSI:63,12.61,18.23,0,0,0.00,0.6609,0.00,0.00,0.00,0.00
2026-01-09,AGNC,BUY,LIMIT,350.00,11.41,PENDING,Score:38.3 RSI:78,10.92,12.60,0,0,0.00,0.1979,0.00,0.00,0.00,0.00
